BM McMillan (SA),1992-1998,38,62,12,1968,113,39.36,3,13,3,Test,Batting
EAB Rowan (SA),1935-1951,26,50,5,1965,236,43.66,3,12,4,Test,Batting
JM Parks (Eng),1954-1968,46,68,7,1962,108*,32.16,2,9,3,Test,Batting
BA Edgar (NZ),1978-1986,39,68,4,1958,161,30.59,3,12,7,Test,Batting
Abdul Razzaq (Pak),1999-2006,46,77,9,1946,134,28.61,3,7,4,Test,Batting
W Jaffer (India),2000-2008,31,58,1,1944,212,34.1,5,11,6,Test,Batting
RS Kaluwitharana (SL),1992-2004,49,78,4,1933,132*,26.12,3,9,5,Test,Batting
AC MacLaren (Eng),1894-1909,35,61,4,1931,140,33.87,5,8,4,Test,Batting
L Klusener (SA),1996-2004,49,69,11,1906,174,32.86,4,8,4,Test,Batting
Yuvraj Singh (India),2003-2012,40,62,6,1900,169,33.92,3,11,7,Test,Batting
RC Russell (Eng),1988-1998,54,86,16,1897,128*,27.1,2,6,8,Test,Batting
Salman Butt (Pak),2003-2010,33,62,0,1889,122,30.46,3,10,6,Test,Batting
PH Parfitt (Eng),1961-1972,37,52,6,1882,131*,40.91,7,6,5,Test,Batting
MJ Guptill (NZ),2009-2015,33,63,1,1858,189,29.96,2,14,7,Test,Batting
Shoaib Malik (Pak),2001-2015,33,56,6,1851,245,37.02,3,8,5,Test,Batting
GRJ Matthews (Aus),1983-1993,33,53,8,1849,130,41.08,4,12,2,Test,Batting
RES Wyatt (Eng),1927-1937,40,64,6,1839,149,31.7,2,12,6,Test,Batting
